name,event_time,pickup_location,delivery_location,boxes,pickup_min_time,pickup_max_time,delivery_min_time,delivery_max_time,pickup_service_time,delivery_service_time
request_1,81,f4_3_1,truck_0,2,81,521,81,4424,1,1
request_2,261,f3_3_6,truck_5,2,261,701,261,4424,1,1
request_3,403,f1_1_9,truck_0,2,403,843,403,4424,1,1
request_4,421,f8_3_3,truck_0,2,421,861,421,4424,1,1
request_5,111,f0_0_3,truck_4,2,111,551,111,4424,1,1
request_6,21,f5_0_1,truck_9,2,21,461,21,4424,1,1
request_7,1023,f8_4_9,truck_4,2,1023,1463,1023,4424,1,1
request_8,404,f0_4_0,truck_3,2,404,843,403,4424,1,1
request_9,393,f5_2_7,truck_6,2,393,833,393,4424,1,1
request_10,311,f6_0_8,truck_0,2,311,751,311,4424,1,1
request_11,675,f0_2_0,truck_5,2,675,1115,675,4424,1,1
request_12,693,f3_3_9,truck_1,2,693,1133,693,4424,1,1
request_13,0,f7_0_1,truck_6,2,0,361,0,4424,1,1
request_14,765,f4_2_6,truck_9,2,765,1205,765,4424,1,1
request_15,253,f7_1_2,truck_0,2,253,693,253,4424,1,1
request_16,1067,f1_2_8,truck_5,2,1067,1507,1067,4424,1,1
request_17,1,f2_1_9,truck_6,2,1,381,0,4424,1,1
request_18,1239,f1_0_5,truck_1,2,1239,1679,1239,4424,1,1
request_19,725,f5_0_3,truck_2,2,725,1165,725,4424,1,1
request_20,41,f9_1_1,truck_9,2,41,481,41,4424,1,1
request_21,1167,f5_4_5,truck_9,2,1167,1607,1167,4424,1,1
request_22,825,f7_3_7,truck_1,2,825,1265,825,4424,1,1
request_23,1045,f3_4_1,truck_7,2,1045,1485,1045,4424,1,1
request_24,1157,f7_2_3,truck_9,2,1157,1597,1157,4424,1,1
request_25,1311,f1_0_0,truck_2,2,1311,1751,1311,4424,1,1
request_26,243,f2_4_5,truck_6,2,243,683,243,4424,1,1
request_27,833,f6_3_7,truck_0,2,833,1273,833,4424,1,1
request_28,1449,f7_1_2,truck_3,2,1449,1889,1449,4424,1,1
request_29,1703,f4_1_0,truck_6,2,1703,2143,1703,4424,1,1
request_30,917,f0_4_3,truck_5,2,917,1357,917,4424,1,1
request_31,515,f2_3_3,truck_7,2,515,955,515,4424,1,1
request_32,737,f2_0_4,truck_0,2,737,1177,737,4424,1,1
request_33,909,f2_4_0,truck_3,2,909,1349,909,4424,1,1
request_34,1275,f8_0_4,truck_8,2,1275,1715,1275,4424,1,1
request_35,1875,f1_4_9,truck_5,2,1875,2315,1875,4424,1,1
request_36,1507,f8_4_3,truck_4,2,1507,1947,1507,4424,1,1
request_37,1949,f8_3_9,truck_4,2,1949,2389,1949,4424,1,1
request_38,1240,f0_2_7,truck_9,2,1240,1679,1239,4424,1,1
request_39,1347,f3_3_9,truck_5,2,1347,1787,1347,4424,1,1
request_40,2477,f4_4_5,truck_0,2,2477,2917,2477,4424,1,1
request_41,1761,f0_1_1,truck_7,2,1761,2201,1761,4424,1,1
request_42,2809,f4_1_2,truck_3,2,2809,3249,2809,4424,1,1
request_43,223,f9_0_3,truck_4,2,223,663,223,4424,1,1
request_44,3101,f1_0_6,truck_2,2,3101,3541,3101,4424,1,1
request_45,1769,f5_4_8,truck_4,2,1769,2209,1769,4424,1,1
request_46,3253,f1_1_0,truck_3,2,3253,3693,3253,4424,1,1
request_47,2371,f5_3_9,truck_0,2,2371,2811,2371,4424,1,1
request_48,2361,f8_4_7,truck_6,2,2361,2801,2361,4424,1,1
request_49,1051,f2_0_1,truck_1,2,1051,1491,1051,4424,1,1
request_50,2103,f0_0_4,truck_7,2,2103,2543,2103,4424,1,1
