name,event_time,pickup_location,delivery_location,boxes,pickup_min_time,pickup_max_time,delivery_min_time,delivery_max_time,pickup_service_time,delivery_service_time
request_1,0,f6_1_1,truck_3,2,0,1251,0,4394,1,1
request_2,1,f7_2_0,truck_3,2,1,1111,0,4394,1,1
request_3,73,f7_4_7,truck_8,2,73,1393,73,4394,1,1
request_4,2,f9_2_1,truck_4,2,2,1161,0,4394,1,1
request_5,455,f7_1_9,truck_3,2,455,1775,455,4394,1,1
request_6,103,f9_1_1,truck_4,2,103,1423,103,4394,1,1
request_7,3,f0_1_4,truck_7,2,3,1191,0,4394,1,1
request_8,353,f4_3_2,truck_0,2,353,1673,353,4394,1,1
request_9,285,f9_2_1,truck_9,2,285,1605,285,4394,1,1
request_10,383,f6_2_4,truck_0,2,383,1703,383,4394,1,1
request_11,407,f9_0_0,truck_7,2,407,1727,407,4394,1,1
request_12,4,f1_0_6,truck_8,2,4,1251,0,4394,1,1
request_13,915,f4_3_4,truck_0,2,915,2235,915,4394,1,1
request_14,5,f2_2_3,truck_7,2,5,1181,0,4394,1,1
request_15,6,f5_2_1,truck_3,2,6,1231,0,4394,1,1
request_16,303,f5_3_6,truck_5,2,303,1623,303,4394,1,1
request_17,1057,f0_0_6,truck_0,2,1057,2377,1057,4394,1,1
request_18,83,f2_0_8,truck_0,2,83,1403,83,4394,1,1
request_19,495,f2_3_9,truck_1,2,495,1815,495,4394,1,1
request_20,689,f9_0_8,truck_9,2,689,2009,689,4394,1,1
request_21,817,f7_3_2,truck_1,2,817,2137,817,4394,1,1
request_22,163,f1_2_9,truck_7,2,163,1483,163,4394,1,1
request_23,1249,f7_4_8,truck_9,2,1249,2569,1249,4394,1,1
request_24,425,f1_1_9,truck_9,2,425,1745,425,4394,1,1
request_25,916,f6_0_8,truck_3,2,916,2235,915,4394,1,1
request_26,797,f1_1_3,truck_3,2,797,2117,797,4394,1,1
request_27,1179,f0_0_0,truck_5,2,1179,2499,1179,4394,1,1
request_28,7,f8_3_5,truck_7,2,7,1161,0,4394,1,1
request_29,697,f2_0_4,truck_1,2,697,2017,697,4394,1,1
request_30,869,f2_0_7,truck_7,2,869,2189,869,4394,1,1
request_31,911,f9_4_1,truck_7,2,911,2231,911,4394,1,1
request_32,93,f8_3_6,truck_8,2,93,1413,93,4394,1,1
request_33,1171,f2_4_4,truck_0,2,1171,2491,1171,4394,1,1
request_34,1093,f9_3_0,truck_9,2,1093,2413,1093,4394,1,1
request_35,625,f5_1_9,truck_0,2,625,1945,625,4394,1,1
request_36,1437,f6_3_8,truck_3,2,1437,2757,1437,4394,1,1
request_37,1443,f2_0_2,truck_6,2,1443,2763,1443,4394,1,1
request_38,1155,f9_2_0,truck_9,2,1155,2475,1155,4394,1,1
request_39,1879,f6_4_5,truck_3,2,1879,3199,1879,4394,1,1
request_40,1297,f9_3_3,truck_9,2,1297,2617,1297,4394,1,1
request_41,465,f8_4_6,truck_5,2,465,1785,465,4394,1,1
request_42,1665,f2_4_9,truck_3,2,1665,2985,1665,4394,1,1
request_43,8,f3_3_0,truck_3,2,8,1111,0,4394,1,1
request_44,959,f1_3_2,truck_1,2,959,2279,959,4394,1,1
request_45,1111,f1_2_2,truck_0,2,1111,2431,1111,4394,1,1
request_46,1351,f0_3_2,truck_1,2,1351,2671,1351,4394,1,1
request_47,13,f3_0_0,truck_6,2,13,1333,13,4394,1,1
request_48,2271,f6_0_1,truck_9,2,2271,3591,2271,4394,1,1
request_49,1493,f0_0_1,truck_1,2,1493,2813,1493,4394,1,1
request_50,2753,f6_3_8,truck_0,2,2753,4073,2753,4394,1,1
