name,event_time,pickup_location,delivery_location,boxes,pickup_min_time,pickup_max_time,delivery_min_time,delivery_max_time,pickup_service_time,delivery_service_time
request_1,166,f9_2_8,truck_0,2,166,616,166,17376,1,1
request_2,478,f9_2_3,truck_3,2,478,928,478,17376,1,1
request_3,760,f0_2_8,truck_1,2,760,1210,760,17376,1,1
request_4,1122,f0_4_2,truck_6,2,1122,1572,1122,17376,1,1
request_5,326,f8_1_7,truck_0,2,326,776,326,17376,1,1
request_6,1334,f7_1_7,truck_9,2,1334,1784,1334,17376,1,1
request_7,46,f6_3_4,truck_0,2,46,496,46,17376,1,1
request_8,668,f3_0_4,truck_7,2,668,1118,668,17376,1,1
request_9,148,f6_0_2,truck_0,2,148,598,148,17376,1,1
request_10,350,f6_0_3,truck_2,2,350,800,350,17376,1,1
request_11,1886,f5_4_0,truck_8,2,1886,2336,1886,17376,1,1
request_12,462,f1_2_9,truck_1,2,462,912,462,17376,1,1
request_13,1060,f4_1_5,truck_1,2,1060,1510,1060,17376,1,1
request_14,1442,f3_4_6,truck_6,2,1442,1892,1442,17376,1,1
request_15,2168,f7_1_1,truck_3,2,2168,2618,2168,17376,1,1
request_16,2600,f9_4_7,truck_0,2,2600,3050,2600,17376,1,1
request_17,2922,f9_2_4,truck_9,2,2922,3372,2922,17376,1,1
request_18,3334,f5_2_2,truck_1,2,3334,3784,3334,17376,1,1
request_19,2014,f4_2_2,truck_0,2,2014,2464,2014,17376,1,1
request_20,684,f2_3_4,truck_3,2,684,1134,684,17376,1,1
request_21,3656,f0_1_7,truck_6,2,3656,4106,3656,17376,1,1
request_22,4208,f0_1_3,truck_7,2,4208,4658,4208,17376,1,1
request_23,2506,f4_3_2,truck_1,2,2506,2956,2506,17376,1,1
request_24,2628,f3_0_9,truck_3,2,2628,3078,2628,17376,1,1
request_25,2980,f3_4_0,truck_0,2,2980,3430,2980,17376,1,1
request_26,3322,f8_4_5,truck_4,2,3322,3772,3322,17376,1,1
request_27,4630,f5_1_2,truck_7,2,4630,5080,4630,17376,1,1
request_28,5052,f5_3_0,truck_7,2,5052,5502,5052,17376,1,1
request_29,1036,f2_1_8,truck_9,2,1036,1486,1036,17376,1,1
request_30,5694,f0_1_1,truck_7,2,5694,6144,5694,17376,1,1
request_31,3694,f3_1_2,truck_8,2,3694,4144,3694,17376,1,1
request_32,1538,f1_1_8,truck_7,2,1538,1988,1538,17376,1,1
request_33,6196,f5_0_5,truck_4,2,6196,6646,6196,17376,1,1
request_34,6518,f9_4_9,truck_2,2,6518,6968,6518,17376,1,1
request_35,1670,f6_3_7,truck_6,2,1670,2120,1670,17376,1,1
request_36,2072,f1_4_0,truck_3,2,2072,2522,2072,17376,1,1
request_37,3916,f8_4_6,truck_1,2,3916,4366,3916,17376,1,1
request_38,6820,f7_4_8,truck_4,2,6820,7270,6820,17376,1,1
request_39,7152,f7_1_7,truck_8,2,7152,7602,7152,17376,1,1
request_40,7394,f9_0_3,truck_1,2,7394,7844,7394,17376,1,1
request_41,7646,f7_3_1,truck_5,2,7646,8096,7646,17376,1,1
request_42,7918,f7_4_4,truck_3,2,7918,8368,7918,17376,1,1
request_43,4308,f3_2_6,truck_5,2,4308,4758,4308,17376,1,1
request_44,8160,f9_4_0,truck_1,2,8160,8610,8160,17376,1,1
request_45,8432,f9_3_0,truck_9,2,8432,8882,8432,17376,1,1
request_46,2444,f1_3_0,truck_2,2,2444,2894,2444,17376,1,1
request_47,8644,f7_2_7,truck_6,2,8644,9094,8644,17376,1,1
request_48,8916,f7_0_7,truck_4,2,8916,9366,8916,17376,1,1
request_49,4990,f4_3_0,truck_0,2,4990,5440,4990,17376,1,1
request_50,9298,f5_1_5,truck_5,2,9298,9748,9298,17376,1,1
request_51,5442,f4_4_5,truck_1,2,5442,5892,5442,17376,1,1
request_52,9760,f9_1_2,truck_0,2,9760,10210,9760,17376,1,1
request_53,9882,f5_0_0,truck_0,2,9882,10332,9882,17376,1,1
request_54,5724,f8_1_5,truck_1,2,5724,6174,5724,17376,1,1
request_55,6016,f3_2_6,truck_0,2,6016,6466,6016,17376,1,1
request_56,6388,f8_4_1,truck_6,2,6388,6838,6388,17376,1,1
request_57,6660,f8_4_9,truck_5,2,6660,7110,6660,17376,1,1
request_58,7262,f4_3_0,truck_9,2,7262,7712,7262,17376,1,1
