name,event_time,pickup_location,delivery_location,boxes,pickup_min_time,pickup_max_time,delivery_min_time,delivery_max_time,pickup_service_time,delivery_service_time
request_1,0,f8_2_2,truck_6,3,0,1161,0,12946,1,1
request_2,1,f7_2_8,truck_8,3,1,1261,0,12946,1,1
request_3,2,f4_1_0,truck_2,3,2,1241,0,12946,1,1
request_4,223,f2_2_9,truck_7,3,223,1573,223,12946,1,1
request_5,575,f5_0_5,truck_1,3,575,1925,575,12946,1,1
request_6,173,f4_0_2,truck_2,3,173,1523,173,12946,1,1
request_7,747,f7_4_1,truck_7,3,747,2097,747,12946,1,1
request_8,405,f3_0_1,truck_3,3,405,1755,405,12946,1,1
request_9,627,f4_3_8,truck_8,3,627,1977,627,12946,1,1
request_10,1019,f5_4_1,truck_1,3,1019,2369,1019,12946,1,1
request_11,153,f9_0_4,truck_1,3,153,1503,153,12946,1,1
request_12,1321,f5_0_2,truck_6,3,1321,2671,1321,12946,1,1
request_13,1773,f2_4_0,truck_0,3,1773,3123,1773,12946,1,1
request_14,2055,f7_2_7,truck_5,3,2055,3405,2055,12946,1,1
request_15,979,f6_0_9,truck_9,3,979,2329,979,12946,1,1
request_16,2517,f2_2_5,truck_5,3,2517,3867,2517,12946,1,1
request_17,495,f9_0_4,truck_6,3,495,1845,495,12946,1,1
request_18,967,f9_4_1,truck_0,3,967,2317,967,12946,1,1
request_19,1259,f8_0_5,truck_6,3,1259,2609,1259,12946,1,1
request_20,1661,f9_0_1,truck_6,3,1661,3011,1661,12946,1,1
request_21,1481,f3_0_5,truck_5,3,1481,2831,1481,12946,1,1
request_22,2789,f7_1_4,truck_3,3,2789,4139,2789,12946,1,1
request_23,1883,f8_4_9,truck_3,3,1883,3233,1883,12946,1,1
request_24,1863,f6_4_1,truck_9,3,1863,3213,1863,12946,1,1
request_25,2245,f4_3_6,truck_0,3,2245,3595,2245,12946,1,1
request_26,2235,f1_0_0,truck_0,3,2235,3585,2235,12946,1,1
request_27,2607,f4_1_7,truck_9,3,2607,3957,2607,12946,1,1
request_28,2959,f6_0_5,truck_1,3,2959,4309,2959,12946,1,1
request_29,2667,f9_0_6,truck_1,3,2667,4017,2667,12946,1,1
request_30,2999,f9_3_3,truck_2,3,2999,4349,2999,12946,1,1
request_31,3281,f4_3_8,truck_8,3,3281,4631,3281,12946,1,1
request_32,3221,f8_3_2,truck_9,3,3221,4571,3221,12946,1,1
request_33,3141,f2_3_0,truck_0,3,3141,4491,3141,12946,1,1
request_34,3523,f8_0_2,truck_4,3,3523,4873,3523,12946,1,1
request_35,3353,f5_2_4,truck_1,3,3353,4703,3353,12946,1,1
request_36,3773,f0_0_7,truck_2,3,3773,5123,3773,12946,1,1
request_37,3625,f7_0_9,truck_2,3,3625,4975,3625,12946,1,1
request_38,4045,f3_4_9,truck_6,3,4045,5395,4045,12946,1,1
request_39,3715,f8_1_2,truck_3,3,3715,5065,3715,12946,1,1
request_40,4187,f6_3_4,truck_1,3,4187,5537,4187,12946,1,1
request_41,4619,f0_0_0,truck_5,3,4619,5969,4619,12946,1,1
request_42,5201,f4_4_6,truck_0,3,5201,6551,5201,12946,1,1
request_43,3917,f8_3_3,truck_1,3,3917,5267,3917,12946,1,1
request_44,4047,f2_2_1,truck_9,3,4047,5397,4047,12946,1,1
request_45,5553,f3_1_2,truck_1,3,5553,6903,5553,12946,1,1
request_46,4159,f8_3_5,truck_3,3,4159,5509,4159,12946,1,1
request_47,4511,f1_4_5,truck_7,3,4511,5861,4511,12946,1,1
request_48,4559,f5_3_3,truck_8,3,4559,5909,4559,12946,1,1
request_49,4991,f2_1_9,truck_9,3,4991,6341,4991,12946,1,1
request_50,4863,f9_3_3,truck_1,3,4863,6213,4863,12946,1,1
request_51,5105,f8_0_1,truck_6,3,5105,6455,5105,12946,1,1
request_52,5945,f4_2_3,truck_9,3,5945,7295,5945,12946,1,1
request_53,6447,f0_4_0,truck_0,3,6447,7797,6447,12946,1,1
request_54,6939,f3_1_0,truck_6,3,6939,8289,6939,12946,1,1
request_55,5563,f5_0_3,truck_8,3,5563,6913,5563,12946,1,1
request_56,5367,f9_1_6,truck_3,3,5367,6717,5367,12946,1,1
request_57,5719,f1_0_4,truck_2,3,5719,7069,5719,12946,1,1
request_58,5855,f5_2_5,truck_5,3,5855,7205,5855,12946,1,1
request_59,6177,f7_0_3,truck_4,3,6177,7527,6177,12946,1,1
request_60,6569,f5_2_3,truck_1,3,6569,7919,6569,12946,1,1
request_61,6001,f8_0_7,truck_4,3,6001,7351,6001,12946,1,1
request_62,6901,f5_2_0,truck_4,3,6901,8251,6901,12946,1,1
request_63,6323,f9_3_1,truck_5,3,6323,7673,6323,12946,1,1
request_64,7171,f6_0_1,truck_5,3,7171,8521,7171,12946,1,1
request_65,7353,f5_4_3,truck_3,3,7353,8703,7353,12946,1,1
request_66,7643,f4_2_2,truck_3,3,7643,8993,7643,12946,1,1
request_67,7775,f5_4_8,truck_8,3,7775,9125,7775,12946,1,1
request_68,7855,f3_4_2,truck_2,3,7855,9205,7855,12946,1,1
request_69,8007,f5_3_7,truck_5,3,8007,9357,8007,12946,1,1
request_70,8409,f2_4_5,truck_0,3,8409,9759,8409,12946,1,1
request_71,6745,f1_4_4,truck_7,3,6745,8095,6745,12946,1,1
request_72,7137,f1_4_3,truck_3,3,7137,8487,7137,12946,1,1
request_73,8117,f6_0_6,truck_0,3,8117,9467,8117,12946,1,1
request_74,8419,f6_2_8,truck_2,3,8419,9769,8419,12946,1,1
request_75,8641,f4_3_8,truck_2,3,8641,9991,8641,12946,1,1
request_76,9163,f0_4_4,truck_9,3,9163,10513,9163,12946,1,1
request_77,8761,f7_2_8,truck_3,3,8761,10111,8761,12946,1,1
request_78,7389,f8_3_8,truck_2,3,7389,8739,7389,12946,1,1
request_79,7541,f9_1_1,truck_3,3,7541,8891,7541,12946,1,1
request_80,7753,f8_2_1,truck_9,3,7753,9103,7753,12946,1,1
request_81,7925,f8_4_9,truck_6,3,7925,9275,7925,12946,1,1
request_82,8347,f9_1_1,truck_6,3,8347,9697,8347,12946,1,1
request_83,9173,f5_2_0,truck_7,3,9173,10523,9173,12946,1,1
request_84,9415,f3_4_5,truck_3,3,9415,10765,9415,12946,1,1
request_85,9475,f7_0_2,truck_4,3,9475,10825,9475,12946,1,1
request_86,9787,f2_3_7,truck_6,3,9787,11137,9787,12946,1,1
request_87,8639,f8_0_5,truck_0,3,8639,9989,8639,12946,1,1
request_88,8971,f8_2_4,truck_1,3,8971,10321,8971,12946,1,1
request_89,9253,f8_4_7,truck_3,3,9253,10603,9253,12946,1,1
request_90,10059,f5_4_4,truck_2,3,10059,11409,10059,12946,1,1
request_91,9535,f9_2_4,truck_6,3,9535,10885,9535,12946,1,1
request_92,10551,f5_3_9,truck_3,3,10551,11901,10551,12946,1,1
request_93,9677,f4_2_5,truck_8,3,9677,11027,9677,12946,1,1
request_94,10029,f6_3_0,truck_5,3,10029,11379,10029,12946,1,1
request_95,9807,f9_4_8,truck_4,3,9807,11157,9807,12946,1,1
request_96,10089,f9_0_8,truck_4,3,10089,11439,10089,12946,1,1
request_97,10723,f7_4_6,truck_7,3,10723,12073,10723,12946,1,1
request_98,10511,f0_4_1,truck_4,3,10511,11861,10511,12946,1,1
request_99,10863,f6_0_6,truck_6,3,10863,12213,10863,12946,1,1
request_100,11455,f4_4_3,truck_0,3,11455,12805,11455,12946,1,1
