name,event_time,pickup_location,delivery_location,boxes,pickup_min_time,pickup_max_time,delivery_min_time,delivery_max_time,pickup_service_time,delivery_service_time
request_1,81,f4_3_1,truck_0,3,81,521,81,14352,1,1
request_2,11,f3_3_6,truck_7,3,11,451,11,14352,1,1
request_3,373,f1_1_9,truck_8,3,373,813,373,14352,1,1
request_4,293,f8_3_3,truck_4,3,293,733,293,14352,1,1
request_5,51,f0_0_3,truck_7,3,51,491,51,14352,1,1
request_6,393,f5_0_1,truck_2,3,393,833,393,14352,1,1
request_7,695,f8_4_9,truck_7,3,695,1135,695,14352,1,1
request_8,635,f0_4_0,truck_4,3,635,1075,635,14352,1,1
request_9,1257,f5_2_7,truck_2,3,1257,1697,1257,14352,1,1
request_10,1077,f6_0_8,truck_9,3,1077,1517,1077,14352,1,1
request_11,1539,f0_2_0,truck_4,3,1539,1979,1539,14352,1,1
request_12,1309,f3_3_9,truck_3,3,1309,1749,1309,14352,1,1
request_13,515,f7_0_1,truck_8,3,515,955,515,14352,1,1
request_14,777,f4_2_6,truck_3,3,777,1217,777,14352,1,1
request_15,1039,f7_1_2,truck_6,3,1039,1479,1039,14352,1,1
request_16,1201,f1_2_8,truck_1,3,1201,1641,1201,14352,1,1
request_17,1443,f2_1_9,truck_8,3,1443,1883,1443,14352,1,1
request_18,1715,f1_0_5,truck_2,3,1715,2155,1715,14352,1,1
request_19,2021,f5_0_3,truck_0,3,2021,2461,2021,14352,1,1
request_20,2383,f9_1_1,truck_9,3,2383,2823,2383,14352,1,1
request_21,2775,f5_4_5,truck_1,3,2775,3215,2775,14352,1,1
request_22,2077,f7_3_7,truck_9,3,2077,2517,2077,14352,1,1
request_23,1501,f3_4_1,truck_9,3,1501,1941,1501,14352,1,1
request_24,2309,f7_2_3,truck_6,3,2309,2749,2309,14352,1,1
request_25,2481,f1_0_0,truck_0,3,2481,2921,2481,14352,1,1
request_26,2883,f2_4_5,truck_0,3,2883,3323,2883,14352,1,1
request_27,1903,f6_3_7,truck_2,3,1903,2343,1903,14352,1,1
request_28,3295,f7_1_2,truck_3,3,3295,3735,3295,14352,1,1
request_29,3637,f4_1_0,truck_6,3,3637,4077,3637,14352,1,1
request_30,3127,f0_4_3,truck_9,3,3127,3567,3127,14352,1,1
request_31,3859,f2_3_3,truck_3,3,3859,4299,3859,14352,1,1
request_32,4061,f2_0_4,truck_1,3,4061,4501,4061,14352,1,1
request_33,4413,f2_4_0,truck_5,3,4413,4853,4413,14352,1,1
request_34,2355,f8_0_4,truck_1,3,2355,2795,2355,14352,1,1
request_35,4715,f1_4_9,truck_0,3,4715,5155,4715,14352,1,1
request_36,2867,f8_4_3,truck_5,3,2867,3307,2867,14352,1,1
request_37,3379,f8_3_9,truck_6,3,3379,3819,3379,14352,1,1
request_38,3489,f0_2_7,truck_0,3,3489,3929,3489,14352,1,1
request_39,3651,f3_3_9,truck_4,3,3651,4091,3651,14352,1,1
request_40,5217,f4_4_5,truck_7,3,5217,5657,5217,14352,1,1
request_41,3731,f0_1_1,truck_7,3,3731,4171,3731,14352,1,1
request_42,5509,f4_1_2,truck_3,3,5509,5949,5509,14352,1,1
request_43,3963,f9_0_3,truck_8,3,3963,4403,3963,14352,1,1
request_44,5751,f1_0_6,truck_1,3,5751,6191,5751,14352,1,1
request_45,4315,f5_4_8,truck_7,3,4315,4755,4315,14352,1,1
