name,event_time,pickup_location,delivery_location,boxes,pickup_min_time,pickup_max_time,delivery_min_time,delivery_max_time,pickup_service_time,delivery_service_time
request_1,0,f6_1_1,truck_3,2,0,1121,0,6632,1,1
request_2,1,f7_2_0,truck_3,2,1,1051,0,6632,1,1
request_3,13,f7_4_7,truck_8,2,13,1333,13,6632,1,1
request_4,2,f9_2_1,truck_4,2,2,1161,0,6632,1,1
request_5,395,f7_1_9,truck_3,2,395,1715,395,6632,1,1
request_6,103,f9_1_1,truck_4,2,103,1423,103,6632,1,1
request_7,173,f0_1_4,truck_7,2,173,1493,173,6632,1,1
request_8,655,f4_3_2,truck_0,2,655,1975,655,6632,1,1
request_9,285,f9_2_1,truck_9,2,285,1605,285,6632,1,1
request_10,1097,f6_2_4,truck_0,2,1097,2417,1097,6632,1,1
request_11,407,f9_0_0,truck_7,2,407,1727,407,6632,1,1
request_12,659,f1_0_6,truck_8,2,659,1979,659,6632,1,1
request_13,1659,f4_3_4,truck_0,2,1659,2979,1659,6632,1,1
request_14,567,f2_2_3,truck_7,2,567,1887,567,6632,1,1
request_15,919,f5_2_1,truck_3,2,919,2239,919,6632,1,1
request_16,1311,f5_3_6,truck_5,2,1311,2631,1311,6632,1,1
request_17,1801,f0_0_6,truck_0,2,1801,3121,1801,6632,1,1
request_18,1633,f2_0_8,truck_0,2,1633,2953,1633,6632,1,1
request_19,2045,f2_3_9,truck_1,2,2045,3365,2045,6632,1,1
request_20,891,f9_0_8,truck_9,2,891,2211,891,6632,1,1
request_21,2467,f7_3_2,truck_1,2,2467,3787,2467,6632,1,1
request_22,1173,f1_2_9,truck_7,2,1173,2493,1173,6632,1,1
request_23,2899,f7_4_8,truck_9,2,2899,4219,2899,6632,1,1
request_24,1435,f1_1_9,truck_9,2,1435,2755,1435,6632,1,1
request_25,2333,f6_0_8,truck_3,2,2333,3653,2333,6632,1,1
request_26,1807,f1_1_3,truck_3,2,1807,3127,1807,6632,1,1
request_27,2605,f0_0_0,truck_5,2,2605,3925,2605,6632,1,1
request_28,2139,f8_3_5,truck_7,2,2139,3459,2139,6632,1,1
request_29,3171,f2_0_4,truck_1,2,3171,4491,3171,6632,1,1
request_30,3343,f2_0_7,truck_7,2,3343,4663,3343,6632,1,1
request_31,2461,f9_4_1,truck_7,2,2461,3781,2461,6632,1,1
request_32,2713,f8_3_6,truck_8,2,2713,4033,2713,6632,1,1
request_33,3645,f2_4_4,truck_0,2,3645,4965,3645,6632,1,1
request_34,2845,f9_3_0,truck_9,2,2845,4165,2845,6632,1,1
request_35,4067,f5_1_9,truck_0,2,4067,5387,4067,6632,1,1
request_36,3037,f6_3_8,truck_3,2,3037,4357,3037,6632,1,1
request_37,4339,f2_0_2,truck_6,2,4339,5659,4339,6632,1,1
request_38,2907,f9_2_0,truck_9,2,2907,4227,2907,6632,1,1
request_39,3479,f6_4_5,truck_3,2,3479,4799,3479,6632,1,1
request_40,3049,f9_3_3,truck_9,2,3049,4369,3049,6632,1,1
request_41,3391,f8_4_6,truck_5,2,3391,4711,3391,6632,1,1
request_42,4561,f2_4_9,truck_3,2,4561,5881,4561,6632,1,1
request_43,3561,f3_3_0,truck_3,2,3561,4881,3561,6632,1,1
request_44,3623,f1_3_2,truck_1,2,3623,4943,3623,6632,1,1
request_45,3775,f1_2_2,truck_0,2,3775,5095,3775,6632,1,1
request_46,3763,f0_3_2,truck_1,2,3763,5083,3763,6632,1,1
request_47,4085,f3_0_0,truck_6,2,4085,5405,4085,6632,1,1
request_48,4277,f6_0_1,truck_9,2,4277,5597,4277,6632,1,1
request_49,4649,f0_0_1,truck_1,2,4649,5969,4649,6632,1,1
request_50,5141,f6_3_8,truck_0,2,5141,6461,5141,6632,1,1
