name,event_time,pickup_location,delivery_location,boxes,pickup_min_time,pickup_max_time,delivery_min_time,delivery_max_time,pickup_service_time,delivery_service_time
request_1,5,f_8_10,truck_0,3,5,21,5,1888,1,1
request_2,21,f_8_9,truck_1,3,21,37,21,1888,1,1
request_3,49,f_1_7,truck_0,3,49,65,49,1888,1,1
request_4,75,f_1_10,truck_2,3,75,91,75,1888,1,1
request_5,89,f_7_10,truck_0,3,89,105,89,1888,1,1
request_6,101,f_6_14,truck_3,3,101,117,101,1888,1,1
request_7,121,f_6_5,truck_0,3,121,137,121,1888,1,1
request_8,143,f_3_7,truck_2,3,143,159,143,1888,1,1
request_9,161,f_5_13,truck_0,3,161,177,161,1888,1,1
request_10,181,f_5_13,truck_1,3,181,197,181,1888,1,1
request_11,199,f_5_10,truck_3,3,199,215,199,1888,1,1
request_12,227,f_2_4,truck_0,3,227,243,227,1888,1,1
request_13,253,f_4_7,truck_0,3,253,269,253,1888,1,1
request_14,273,f_4_2,truck_2,3,273,289,273,1888,1,1
request_15,293,f_6_12,truck_1,3,293,309,293,1888,1,1
request_16,303,f_8_15,truck_0,3,303,319,303,1888,1,1
request_17,317,f_8_9,truck_3,3,317,333,317,1888,1,1
request_18,339,f_5_5,truck_0,3,339,355,339,1888,1,1
request_19,367,f_4_8,truck_0,3,367,383,367,1888,1,1
request_20,385,f_3_2,truck_1,3,385,401,385,1888,1,1
request_21,409,f_1_4,truck_2,3,409,425,409,1888,1,1
request_22,437,f_1_3,truck_2,3,437,453,437,1888,1,1
request_23,457,f_4_11,truck_0,3,457,473,457,1888,1,1
request_24,483,f_3_8,truck_1,3,483,499,483,1888,1,1
request_25,501,f_4_0,truck_0,3,501,517,501,1888,1,1
request_26,509,f_8_2,truck_1,3,509,525,509,1888,1,1
request_27,527,f_5_3,truck_3,3,527,543,527,1888,1,1
request_28,543,f_5_7,truck_2,3,543,559,543,1888,1,1
request_29,567,f_2_14,truck_3,3,567,583,567,1888,1,1
request_30,599,f_1_3,truck_3,3,599,615,599,1888,1,1
request_31,619,f_3_9,truck_3,3,619,635,619,1888,1,1
request_32,647,f_2_1,truck_2,3,647,663,647,1888,1,1
request_33,667,f_5_1,truck_1,3,667,683,667,1888,1,1
request_34,677,f_8_15,truck_0,3,677,693,677,1888,1,1
request_35,693,f_6_6,truck_2,3,693,709,693,1888,1,1
request_36,713,f_2_7,truck_1,3,713,729,713,1888,1,1
request_37,721,f_8_2,truck_0,3,721,737,721,1888,1,1
request_38,733,f_7_5,truck_1,3,733,749,733,1888,1,1
request_39,749,f_6_14,truck_3,3,749,765,749,1888,1,1
request_40,765,f_8_4,truck_0,3,765,781,765,1888,1,1
request_41,779,f_7_1,truck_2,3,779,795,779,1888,1,1
request_42,789,f_7_5,truck_1,3,789,805,789,1888,1,1
request_43,815,f_3_13,truck_2,3,815,831,815,1888,1,1
request_44,827,f_8_13,truck_0,3,827,843,827,1888,1,1
request_45,837,f_8_11,truck_3,3,837,853,837,1888,1,1
request_46,863,f_2_4,truck_1,3,863,879,863,1888,1,1
request_47,881,f_7_0,truck_2,3,881,897,881,1888,1,1
request_48,899,f_6_11,truck_1,3,899,915,899,1888,1,1
request_49,923,f_4_11,truck_0,3,923,939,923,1888,1,1
request_50,941,f_5_3,truck_2,3,941,957,941,1888,1,1
request_51,961,f_4_14,truck_0,3,961,977,961,1888,1,1
request_52,977,f_8_6,truck_0,3,977,993,977,1888,1,1
request_53,991,f_5_0,truck_0,3,991,1007,991,1888,1,1
request_54,1009,f_7_10,truck_0,3,1009,1025,1009,1888,1,1
request_55,1029,f_3_13,truck_0,3,1029,1045,1029,1888,1,1
request_56,1041,f_8_1,truck_2,3,1041,1057,1041,1888,1,1
request_57,1055,f_8_3,truck_2,3,1055,1071,1055,1888,1,1
request_58,1071,f_4_11,truck_3,3,1071,1087,1071,1888,1,1
request_59,1089,f_5_8,truck_3,3,1089,1105,1089,1888,1,1
request_60,1107,f_8_5,truck_3,3,1107,1123,1107,1888,1,1
request_61,1121,f_6_12,truck_0,3,1121,1137,1121,1888,1,1
request_62,1141,f_4_14,truck_1,3,1141,1157,1141,1888,1,1
request_63,1173,f_2_12,truck_1,3,1173,1189,1173,1888,1,1
request_64,1193,f_3_9,truck_2,3,1193,1209,1193,1888,1,1
request_65,1203,f_6_9,truck_2,3,1203,1219,1203,1888,1,1
request_66,1229,f_2_5,truck_3,3,1229,1245,1229,1888,1,1
request_67,1245,f_8_4,truck_2,3,1245,1261,1245,1888,1,1
request_68,1267,f_3_2,truck_1,3,1267,1283,1267,1888,1,1
request_69,1271,f_8_4,truck_1,3,1271,1287,1271,1888,1,1
request_70,1289,f_3_7,truck_2,3,1289,1305,1289,1888,1,1
request_71,1301,f_8_10,truck_0,3,1301,1317,1301,1888,1,1
request_72,1321,f_6_10,truck_0,3,1321,1337,1321,1888,1,1
request_73,1337,f_5_0,truck_1,3,1337,1353,1337,1888,1,1
request_74,1351,f_5_2,truck_0,3,1351,1367,1351,1888,1,1
request_75,1367,f_6_3,truck_2,3,1367,1383,1367,1888,1,1
request_76,1385,f_5_11,truck_0,3,1385,1401,1385,1888,1,1
request_77,1413,f_3_7,truck_0,3,1413,1429,1413,1888,1,1
request_78,1441,f_2_10,truck_0,3,1441,1457,1441,1888,1,1
request_79,1453,f_5_1,truck_0,3,1453,1469,1453,1888,1,1
request_80,1471,f_8_7,truck_0,3,1471,1487,1471,1888,1,1
request_81,1489,f_5_15,truck_2,3,1489,1505,1489,1888,1,1
request_82,1513,f_1_9,truck_1,3,1513,1529,1513,1888,1,1
request_83,1529,f_7_9,truck_1,3,1529,1545,1529,1888,1,1
request_84,1549,f_6_12,truck_2,3,1549,1565,1549,1888,1,1
request_85,1561,f_8_4,truck_0,3,1561,1577,1561,1888,1,1
request_86,1589,f_2_8,truck_3,3,1589,1605,1589,1888,1,1
request_87,1603,f_6_15,truck_3,3,1603,1619,1603,1888,1,1
request_88,1627,f_1_7,truck_2,3,1627,1643,1627,1888,1,1
request_89,1641,f_6_3,truck_1,3,1641,1657,1641,1888,1,1
request_90,1663,f_3_2,truck_2,3,1663,1679,1663,1888,1,1
request_91,1689,f_2_13,truck_2,3,1689,1705,1689,1888,1,1
request_92,1701,f_8_0,truck_0,3,1701,1717,1701,1888,1,1
request_93,1729,f_1_13,truck_1,3,1729,1745,1729,1888,1,1
request_94,1747,f_5_2,truck_2,3,1747,1763,1747,1888,1,1
request_95,1761,f_7_13,truck_0,3,1761,1777,1761,1888,1,1
request_96,1779,f_2_15,truck_0,3,1779,1795,1779,1888,1,1
request_97,1803,f_2_10,truck_3,3,1803,1819,1803,1888,1,1
request_98,1815,f_8_0,truck_1,3,1815,1831,1815,1888,1,1
request_99,1831,f_4_6,truck_2,3,1831,1847,1831,1888,1,1
request_100,1843,f_6_11,truck_3,3,1843,1859,1843,1888,1,1
