name,event_time,pickup_location,delivery_location,boxes,pickup_min_time,pickup_max_time,delivery_min_time,delivery_max_time,pickup_service_time,delivery_service_time
request_1,9,f_2_13,truck_2,2,9,57,9,1000,1,1
request_2,17,f_8_11,truck_3,2,17,65,17,1000,1,1
request_3,41,f_2_0,truck_3,2,41,89,41,1000,1,1
request_4,53,f_6_10,truck_2,2,53,101,53,1000,1,1
request_5,79,f_1_10,truck_0,2,79,127,79,1000,1,1
request_6,97,f_2_15,truck_0,2,97,145,97,1000,1,1
request_7,109,f_8_15,truck_2,2,109,157,109,1000,1,1
request_8,129,f_2_10,truck_2,2,129,177,129,1000,1,1
request_9,145,f_6_2,truck_0,2,145,193,145,1000,1,1
request_10,165,f_4_10,truck_3,2,165,213,165,1000,1,1
request_11,181,f_4_10,truck_2,2,181,229,181,1000,1,1
request_12,207,f_4_15,truck_2,2,207,255,207,1000,1,1
request_13,233,f_2_8,truck_0,2,233,281,233,1000,1,1
request_14,251,f_7_10,truck_0,2,251,299,251,1000,1,1
request_15,279,f_1_11,truck_0,2,279,327,279,1000,1,1
request_16,305,f_2_13,truck_1,2,305,353,305,1000,1,1
request_17,327,f_1_2,truck_1,2,327,375,327,1000,1,1
request_18,345,f_3_2,truck_1,2,345,393,345,1000,1,1
request_19,361,f_4_4,truck_1,2,361,409,361,1000,1,1
request_20,373,f_8_3,truck_3,2,373,421,373,1000,1,1
request_21,393,f_4_0,truck_3,2,393,441,393,1000,1,1
request_22,415,f_1_14,truck_0,2,415,463,415,1000,1,1
request_23,433,f_3_1,truck_1,2,433,481,433,1000,1,1
request_24,445,f_8_14,truck_0,2,445,493,445,1000,1,1
request_25,473,f_1_8,truck_2,2,473,521,473,1000,1,1
request_26,493,f_5_15,truck_3,2,493,541,493,1000,1,1
request_27,511,f_4_0,truck_0,2,511,559,511,1000,1,1
request_28,531,f_6_4,truck_3,2,531,579,531,1000,1,1
request_29,553,f_3_11,truck_1,2,553,601,553,1000,1,1
request_30,573,f_6_8,truck_0,2,573,621,573,1000,1,1
request_31,589,f_4_15,truck_3,2,589,637,589,1000,1,1
request_32,605,f_6_3,truck_1,2,605,653,605,1000,1,1
request_33,613,f_8_3,truck_0,2,613,661,613,1000,1,1
request_34,635,f_5_10,truck_1,2,635,683,635,1000,1,1
request_35,655,f_2_2,truck_0,2,655,703,655,1000,1,1
request_36,685,f_1_8,truck_1,2,685,733,685,1000,1,1
request_37,699,f_8_9,truck_1,2,699,747,699,1000,1,1
request_38,723,f_4_14,truck_1,2,723,771,723,1000,1,1
request_39,745,f_2_8,truck_2,2,745,793,745,1000,1,1
request_40,755,f_8_9,truck_1,2,755,803,755,1000,1,1
request_41,777,f_5_10,truck_0,2,777,825,777,1000,1,1
request_42,791,f_6_13,truck_0,2,791,839,791,1000,1,1
request_43,795,f_8_0,truck_0,2,795,843,795,1000,1,1
request_44,817,f_3_4,truck_2,2,817,865,817,1000,1,1
request_45,843,f_3_13,truck_1,2,843,891,843,1000,1,1
request_46,855,f_8_0,truck_3,2,855,903,855,1000,1,1
request_47,883,f_2_1,truck_2,2,883,931,883,1000,1,1
request_48,903,f_7_1,truck_2,2,903,951,903,1000,1,1
request_49,927,f_1_12,truck_3,2,927,975,927,1000,1,1
request_50,947,f_6_8,truck_0,2,947,995,947,1000,1,1
