name,event_time,pickup_location,delivery_location,boxes,pickup_min_time,pickup_max_time,delivery_min_time,delivery_max_time,pickup_service_time,delivery_service_time
request_1,74.90762852564413,f_95,truck_0,3,74.90762852564413,204.90762852564413,74.90762852564413,11736.988366696014,1,1
request_2,177.4861074906377,f_94,truck_1,3,177.4861074906377,307.48610749063766,177.4861074906377,11736.988366696014,1,1
request_3,297.3162861641363,f_5,truck_0,3,297.3162861641363,427.3162861641363,297.3162861641363,11736.988366696014,1,1
request_4,483.50516116244125,f_8,truck_2,3,483.50516116244125,613.5051611624413,483.50516116244125,11736.988366696014,1,1
request_5,609.0011319605084,f_83,truck_0,3,609.0011319605084,739.0011319605084,609.0011319605084,11736.988366696014,1,1
request_6,786.1488309342578,f_73,truck_3,3,786.1488309342578,916.1488309342578,786.1488309342578,11736.988366696014,1,1
request_7,902.8836389599373,f_66,truck_0,3,902.8836389599373,1032.8836389599373,902.8836389599373,11736.988366696014,1,1
request_8,1025.9498075906743,f_30,truck_2,3,1025.9498075906743,1155.9498075906743,1025.9498075906743,11736.988366696014,1,1
request_9,1110.7360644063224,f_60,truck_0,3,1110.7360644063224,1240.7360644063224,1110.7360644063224,11736.988366696014,1,1
request_10,1238.7584680298899,f_60,truck_1,3,1238.7584680298899,1368.7584680298899,1238.7584680298899,11736.988366696014,1,1
request_11,1349.342420457082,f_58,truck_3,3,1349.342420457082,1479.342420457082,1349.342420457082,11736.988366696014,1,1
request_12,1464.5366368790496,f_15,truck_0,3,1464.5366368790496,1594.5366368790496,1464.5366368790496,11736.988366696014,1,1
request_13,1616.9095067725248,f_43,truck_0,3,1616.9095067725248,1746.9095067725248,1616.9095067725248,11736.988366696014,1,1
request_14,1707.0101310284488,f_39,truck_2,3,1707.0101310284488,1837.0101310284488,1707.0101310284488,11736.988366696014,1,1
request_15,1799.3182090040837,f_72,truck_1,3,1799.3182090040837,1929.3182090040837,1799.3182090040837,11736.988366696014,1,1
request_16,1901.5331415050223,f_99,truck_0,3,1901.5331415050223,2031.5331415050223,1901.5331415050223,11736.988366696014,1,1
request_17,2057.420537794561,f_94,truck_3,3,2057.420537794561,2187.420537794561,2057.420537794561,11736.988366696014,1,1
request_18,2217.797364226989,f_54,truck_0,3,2217.797364226989,2347.797364226989,2217.797364226989,11736.988366696014,1,1
request_19,2357.0416719413706,f_44,truck_0,3,2357.0416719413706,2487.0416719413706,2357.0416719413706,11736.988366696014,1,1
request_20,2487.731555645401,f_26,truck_1,3,2487.731555645401,2617.731555645401,2487.731555645401,11736.988366696014,1,1
request_21,2601.878676828945,f_3,truck_2,3,2601.878676828945,2731.878676828945,2601.878676828945,11736.988366696014,1,1
request_22,2667.0292904443327,f_2,truck_2,3,2667.0292904443327,2797.0292904443327,2667.0292904443327,11736.988366696014,1,1
request_23,2794.9243359198513,f_46,truck_0,3,2794.9243359198513,2924.9243359198513,2794.9243359198513,11736.988366696014,1,1
request_24,2897.4881679105556,f_31,truck_1,3,2897.4881679105556,3027.4881679105556,2897.4881679105556,11736.988366696014,1,1
request_25,3058.7744256667443,f_38,truck_0,3,3058.7744256667443,3188.7744256667443,3058.7744256667443,11736.988366696014,1,1
request_26,3167.1926792884283,f_89,truck_1,3,3167.1926792884283,3297.1926792884283,3167.1926792884283,11736.988366696014,1,1
request_27,3360.509219565719,f_52,truck_3,3,3360.509219565719,3490.509219565719,3360.509219565719,11736.988366696014,1,1
request_28,3450.5299512433385,f_56,truck_2,3,3450.5299512433385,3580.5299512433385,3450.5299512433385,11736.988366696014,1,1
request_29,3522.1124583254855,f_23,truck_3,3,3522.1124583254855,3652.1124583254855,3522.1124583254855,11736.988366696014,1,1
request_30,3598.355303098568,f_2,truck_3,3,3598.355303098568,3728.355303098568,3598.355303098568,11736.988366696014,1,1
request_31,3767.1246048300322,f_32,truck_3,3,3767.1246048300322,3897.1246048300322,3767.1246048300322,11736.988366696014,1,1
request_32,3935.9699785741955,f_13,truck_2,3,3935.9699785741955,4065.9699785741955,3935.9699785741955,11736.988366696014,1,1
request_33,3992.584115860391,f_51,truck_1,3,3992.584115860391,4122.584115860391,3992.584115860391,11736.988366696014,1,1
request_34,4094.7990483613294,f_99,truck_0,3,4094.7990483613294,4224.799048361329,4094.7990483613294,11736.988366696014,1,1
request_35,4182.433142154957,f_67,truck_2,3,4182.433142154957,4312.433142154957,4182.433142154957,11736.988366696014,1,1
request_36,4366.437606351702,f_18,truck_1,3,4366.437606351702,4496.437606351702,4366.437606351702,11736.988366696014,1,1
request_37,4474.855859973387,f_89,truck_0,3,4474.855859973387,4604.855859973387,4474.855859973387,11736.988366696014,1,1
request_38,4576.643889478283,f_79,truck_1,3,4576.643889478283,4706.643889478283,4576.643889478283,11736.988366696014,1,1
request_39,4683.961737793871,f_73,truck_3,3,4683.961737793871,4813.961737793871,4683.961737793871,11736.988366696014,1,1
request_40,4866.095160793347,f_90,truck_0,3,4866.095160793347,4996.095160793347,4866.095160793347,11736.988366696014,1,1
request_41,4982.2371471554925,f_76,truck_2,3,4982.2371471554925,5112.2371471554925,4982.2371471554925,11736.988366696014,1,1
request_42,5047.865698538087,f_78,truck_1,3,5047.865698538087,5177.865698538087,5047.865698538087,11736.988366696014,1,1
request_43,5101.489725889602,f_35,truck_2,3,5101.489725889602,5231.489725889602,5101.489725889602,11736.988366696014,1,1
request_44,5199.033611777945,f_98,truck_0,3,5199.033611777945,5329.033611777945,5199.033611777945,11736.988366696014,1,1
request_45,5325.825337254538,f_96,truck_3,3,5325.825337254538,5455.825337254538,5325.825337254538,11736.988366696014,1,1
request_46,5466.968145303019,f_16,truck_1,3,5466.968145303019,5596.968145303019,5466.968145303019,11736.988366696014,1,1
request_47,5516.80997394907,f_75,truck_2,3,5516.80997394907,5646.80997394907,5516.80997394907,11736.988366696014,1,1
request_48,5630.957095132615,f_71,truck_1,3,5630.957095132615,5760.957095132615,5630.957095132615,11736.988366696014,1,1
request_49,5732.566331652127,f_46,truck_0,3,5732.566331652127,5862.566331652127,5732.566331652127,11736.988366696014,1,1
request_50,5836.507471682978,f_53,truck_2,3,5836.507471682978,5966.507471682978,5836.507471682978,11736.988366696014,1,1
request_51,5964.3435002045535,f_49,truck_0,3,5964.3435002045535,6094.3435002045535,5964.3435002045535,11736.988366696014,1,1
request_52,6058.538944777483,f_92,truck_0,3,6058.538944777483,6188.538944777483,6058.538944777483,11736.988366696014,1,1
request_53,6149.105304079421,f_50,truck_0,3,6149.105304079421,6279.105304079421,6149.105304079421,11736.988366696014,1,1
request_54,6258.02583531641,f_83,truck_0,3,6258.02583531641,6388.02583531641,6258.02583531641,11736.988366696014,1,1
request_55,6451.075567061838,f_35,truck_0,3,6451.075567061838,6581.075567061838,6451.075567061838,11736.988366696014,1,1
request_56,6524.288438425524,f_88,truck_2,3,6524.288438425524,6654.288438425524,6524.288438425524,11736.988366696014,1,1
request_57,6569.043555078389,f_89,truck_2,3,6569.043555078389,6699.043555078389,6569.043555078389,11736.988366696014,1,1
request_58,6669.772445139494,f_46,truck_3,3,6669.772445139494,6799.772445139494,6669.772445139494,11736.988366696014,1,1
request_59,6729.3571653350455,f_56,truck_3,3,6729.3571653350455,6859.3571653350455,6729.3571653350455,11736.988366696014,1,1
request_60,6938.557551435072,f_92,truck_3,3,6938.557551435072,7068.557551435072,6938.557551435072,11736.988366696014,1,1
request_61,7054.604316729259,f_72,truck_0,3,7054.604316729259,7184.604316729259,7054.604316729259,11736.988366696014,1,1
request_62,7167.156969013047,f_48,truck_1,3,7167.156969013047,7297.156969013047,7167.156969013047,11736.988366696014,1,1
request_63,7374.076465401264,f_22,truck_1,3,7374.076465401264,7504.076465401264,7374.076465401264,11736.988366696014,1,1
request_64,7501.811959410733,f_32,truck_2,3,7501.811959410733,7631.811959410733,7501.811959410733,11736.988366696014,1,1
request_65,7539.19557143664,f_69,truck_2,3,7539.19557143664,7669.19557143664,7539.19557143664,11736.988366696014,1,1
request_66,7643.945136358253,f_16,truck_3,3,7643.945136358253,7773.945136358253,7643.945136358253,11736.988366696014,1,1
request_67,7774.7743163543,f_90,truck_2,3,7774.7743163543,7904.7743163543,7774.7743163543,11736.988366696014,1,1
request_68,7911.194983921002,f_26,truck_1,3,7911.194983921002,8041.194983921002,7911.194983921002,11736.988366696014,1,1
request_69,8116.300867636861,f_91,truck_1,3,8116.300867636861,8246.30086763686,8116.300867636861,11736.988366696014,1,1
request_70,8161.978392613715,f_30,truck_2,3,8161.978392613715,8291.978392613715,8161.978392613715,11736.988366696014,1,1
request_71,8245.799717588661,f_95,truck_0,3,8245.799717588661,8375.799717588661,8245.799717588661,11736.988366696014,1,1
request_72,8352.585212768097,f_70,truck_0,3,8352.585212768097,8482.585212768097,8352.585212768097,11736.988366696014,1,1
request_73,8464.17535988809,f_50,truck_1,3,8464.17535988809,8594.17535988809,8464.17535988809,11736.988366696014,1,1
request_74,8567.031641282487,f_51,truck_0,3,8567.031641282487,8697.031641282487,8567.031641282487,11736.988366696014,1,1
request_75,8697.790685559265,f_65,truck_2,3,8697.790685559265,8827.790685559265,8697.790685559265,11736.988366696014,1,1
request_76,8842.026324508932,f_58,truck_0,3,8842.026324508932,8972.026324508932,8842.026324508932,11736.988366696014,1,1
request_77,8970.722812226626,f_31,truck_0,3,8970.722812226626,9100.722812226626,8970.722812226626,11736.988366696014,1,1
request_78,9101.718936199404,f_20,truck_0,3,9101.718936199404,9231.718936199404,9101.718936199404,11736.988366696014,1,1
request_79,9236.700137878439,f_51,truck_0,3,9236.700137878439,9366.700137878439,9236.700137878439,11736.988366696014,1,1
request_80,9392.816976672906,f_93,truck_0,3,9392.816976672906,9522.816976672906,9392.816976672906,11736.988366696014,1,1
request_81,9459.688963319977,f_62,truck_2,3,9459.688963319977,9589.688963319977,9459.688963319977,11736.988366696014,1,1
request_82,9574.7775538318,f_7,truck_1,3,9574.7775538318,9704.7775538318,9574.7775538318,11736.988366696014,1,1
request_83,9598.868275866176,f_82,truck_1,3,9598.868275866176,9728.868275866176,9598.868275866176,11736.988366696014,1,1
request_84,9691.17635384181,f_72,truck_2,3,9691.17635384181,9821.17635384181,9691.17635384181,11736.988366696014,1,1
request_85,9846.087683212283,f_90,truck_0,3,9846.087683212283,9976.087683212283,9846.087683212283,11736.988366696014,1,1
request_86,9960.243798115353,f_19,truck_3,3,9960.243798115353,10090.243798115353,9960.243798115353,11736.988366696014,1,1
request_87,9970.243798115353,f_74,truck_3,3,9970.243798115353,10100.243798115353,9970.243798115353,11736.988366696014,1,1
request_88,10143.461548884467,f_5,truck_2,3,10143.461548884467,10273.461548884467,10143.461548884467,11736.988366696014,1,1
request_89,10232.770194335513,f_65,truck_1,3,10232.770194335513,10362.770194335513,10232.770194335513,11736.988366696014,1,1
request_90,10299.99813356306,f_27,truck_2,3,10299.99813356306,10429.99813356306,10299.99813356306,11736.988366696014,1,1
request_91,10420.269009098842,f_22,truck_2,3,10420.269009098842,10550.269009098842,10420.269009098842,11736.988366696014,1,1
request_92,10547.414483801504,f_87,truck_0,3,10547.414483801504,10677.414483801504,10547.414483801504,11736.988366696014,1,1
request_93,10650.863449676866,f_10,truck_1,3,10650.863449676866,10780.863449676866,10650.863449676866,11736.988366696014,1,1
request_94,10788.859325130568,f_52,truck_2,3,10788.859325130568,10918.859325130568,10788.859325130568,11736.988366696014,1,1
request_95,10885.712504678968,f_85,truck_0,3,10885.712504678968,11015.712504678968,10885.712504678968,11736.988366696014,1,1
request_96,11037.72583741976,f_24,truck_0,3,11037.72583741976,11167.72583741976,11037.72583741976,11736.988366696014,1,1
request_97,11150.569491078786,f_21,truck_3,3,11150.569491078786,11280.569491078786,11150.569491078786,11736.988366696014,1,1
request_98,11249.020913738927,f_88,truck_1,3,11249.020913738927,11379.020913738927,11249.020913738927,11736.988366696014,1,1
request_99,11325.351423157283,f_42,truck_2,3,11325.351423157283,11455.351423157283,11325.351423157283,11736.988366696014,1,1
request_100,11400.364081528409,f_71,truck_3,3,11400.364081528409,11530.364081528409,11400.364081528409,11736.988366696014,1,1
