name,event_time,pickup_location,delivery_location,boxes,pickup_min_time,pickup_max_time,delivery_min_time,delivery_max_time,pickup_service_time,delivery_service_time
request_1,17,f_32,truck_3,2,17,398,17,6442,1,1
request_2,130,f_15,truck_0,2,130,511,130,6442,1,1
request_3,267,f_65,truck_1,2,267,648,267,6442,1,1
request_4,426,f_7,truck_3,2,426,807,426,6442,1,1
request_5,576,f_53,truck_0,2,576,957,576,6442,1,1
request_6,689,f_36,truck_1,2,689,1070,689,6442,1,1
request_7,806,f_5,truck_0,2,806,1187,806,6442,1,1
request_8,873,f_50,truck_2,2,873,1254,873,6442,1,1
request_9,947,f_3,truck_3,2,947,1328,947,6442,1,1
request_10,1050,f_43,truck_2,2,1050,1431,1050,6442,1,1
request_11,1176,f_6,truck_3,2,1176,1557,1176,6442,1,1
request_12,1243,f_9,truck_1,2,1243,1624,1243,6442,1,1
request_13,1318,f_42,truck_2,2,1318,1699,1318,6442,1,1
request_14,1410,f_82,truck_2,2,1410,1791,1410,6442,1,1
request_15,1506,f_12,truck_2,2,1506,1887,1506,6442,1,1
request_16,1666,f_22,truck_1,2,1666,2047,1666,6442,1,1
request_17,1803,f_62,truck_3,2,1803,2184,1803,6442,1,1
request_18,1937,f_94,truck_3,2,1937,2318,1937,6442,1,1
request_19,2037,f_57,truck_1,2,2037,2418,2037,6442,1,1
request_20,2128,f_39,truck_2,2,2128,2509,2128,6442,1,1
request_21,2261,f_97,truck_0,2,2261,2642,2261,6442,1,1
request_22,2388,f_4,truck_2,2,2388,2769,2388,6442,1,1
request_23,2512,f_85,truck_2,2,2512,2893,2512,6442,1,1
request_24,2608,f_28,truck_3,2,2608,2989,2608,6442,1,1
request_25,2812,f_14,truck_3,2,2812,3193,2812,6442,1,1
request_26,2993,f_11,truck_1,2,2993,3374,2993,6442,1,1
request_27,3017,f_30,truck_1,2,3017,3398,3017,6442,1,1
request_28,3063,f_81,truck_2,2,3063,3444,3063,6442,1,1
request_29,3180,f_18,truck_0,2,3180,3561,3180,6442,1,1
request_30,3341,f_58,truck_1,2,3341,3722,3341,6442,1,1
request_31,3444,f_63,truck_0,2,3444,3825,3444,6442,1,1
request_32,3610,f_37,truck_0,2,3610,3991,3610,6442,1,1
request_33,3742,f_54,truck_0,2,3742,4123,3742,6442,1,1
request_34,3873,f_6,truck_3,2,3873,4254,3873,6442,1,1
request_35,4017,f_5,truck_0,2,4017,4398,4017,6442,1,1
request_36,4145,f_20,truck_0,2,4145,4526,4145,6442,1,1
request_37,4250,f_68,truck_1,2,4250,4631,4250,6442,1,1
request_38,4361,f_42,truck_3,2,4361,4742,4361,6442,1,1
request_39,4498,f_31,truck_0,2,4498,4879,4498,6442,1,1
request_40,4659,f_58,truck_1,2,4659,5040,4659,6442,1,1
request_41,4797,f_45,truck_2,2,4797,5178,4797,6442,1,1
request_42,4864,f_29,truck_3,2,4864,5245,4864,6442,1,1
request_43,5018,f_79,truck_3,2,5018,5399,5018,6442,1,1
request_44,5176,f_69,truck_3,2,5176,5557,5176,6442,1,1
request_45,5303,f_24,truck_1,2,5303,5684,5303,6442,1,1
request_46,5397,f_57,truck_1,2,5397,5778,5397,6442,1,1
request_47,5575,f_52,truck_1,2,5575,5956,5575,6442,1,1
request_48,5692,f_87,truck_3,2,5692,6073,5692,6442,1,1
request_49,5852,f_72,truck_3,2,5852,6233,5852,6442,1,1
request_50,5971,f_28,truck_0,2,5971,6352,5971,6442,1,1
