graph,instance,algorithm,requests,robots,capacity,demand,num_instance,isBigTW,cost,time,distance,used_vehicles,used_max,used_min,used_mean,computational_time
mountain,3HR_6Q_100RQT_3q_4,MILP,100,3,6,3,4,False,1626.0,1965.0,1606.0,2.0,832.0,774.0,803.0,2.86
mountain,3HR_6Q_100RQT_3q_4,Heuristic,100,3,6,3,4,False,1638.0,1965.0,1618.0,2.0,1168.0,450.0,809.0,0.47840094566345215
mountain,3HR_6Q_100RQT_3q_3,MILP,100,3,6,3,3,False,1586.0,1885.0,1556.0,3.0,798.0,142.0,518.6666666666666,2.78
mountain,3HR_6Q_100RQT_3q_3,Heuristic,100,3,6,3,3,False,1588.0,1887.0,1568.0,2.0,956.0,612.0,784.0,0.4470939636230469
mountain,3HR_6Q_50RQT_3q_6,MILP,50,3,6,3,6,False,802.0,939.0,782.0,2.0,418.0,364.0,391.0,0.6
mountain,3HR_6Q_50RQT_3q_6,Heuristic,50,3,6,3,6,False,804.0,939.0,784.0,2.0,536.0,248.0,392.0,0.13169169425964355
mountain,9HR_6Q_100RQT_2q_bigTW_2,MILP,100,9,6,2,2,True,1588.0,1863.0,1578.0,1.0,1578.0,1578.0,1578.0,15.73
mountain,9HR_6Q_100RQT_2q_bigTW_2,Heuristic,100,9,6,2,2,True,1578.0,1865.0,1568.0,1.0,1568.0,1568.0,1568.0,0.8633010387420654
mountain,9HR_6Q_100RQT_3q_bigTW_2,MILP,100,9,6,3,2,True,1584.0,1863.0,1574.0,1.0,1574.0,1574.0,1574.0,16.57
mountain,9HR_6Q_100RQT_3q_bigTW_2,Heuristic,100,9,6,3,2,True,1578.0,1865.0,1568.0,1.0,1568.0,1568.0,1568.0,0.7199890613555908
mountain,9HR_6Q_100RQT_3q_bigTW_5,MILP,100,9,6,3,5,True,1668.0,1943.0,1658.0,1.0,1658.0,1658.0,1658.0,12.16
mountain,9HR_6Q_100RQT_3q_bigTW_5,Heuristic,100,9,6,3,5,True,1668.0,1943.0,1658.0,1.0,1658.0,1658.0,1658.0,0.7237169742584229
mountain,9HR_6Q_100RQT_2q_bigTW_5,MILP,100,9,6,2,5,True,1676.0,1951.0,1666.0,1.0,1666.0,1666.0,1666.0,18.8
mountain,9HR_6Q_100RQT_2q_bigTW_5,Heuristic,100,9,6,2,5,True,1672.0,1947.0,1662.0,1.0,1662.0,1662.0,1662.0,0.7392878532409668
