name,event_time,pickup_location,delivery_location,boxes,pickup_min_time,pickup_max_time,delivery_min_time,delivery_max_time,pickup_service_time,delivery_service_time
request_1,156,f1_1_7,truck_3,2,156,606,156,6786,1,1
request_2,286,f8_2_3,truck_5,2,286,736,286,6786,1,1
request_3,126,f7_3_1,truck_8,2,126,576,126,6786,1,1
request_4,36,f2_2_7,truck_8,2,36,486,36,6786,1,1
request_5,226,f4_4_7,truck_5,2,226,676,226,6786,1,1
request_6,908,f4_2_4,truck_5,2,908,1358,908,6786,1,1
request_7,16,f6_2_5,truck_0,2,16,466,16,6786,1,1
request_8,298,f7_4_4,truck_2,2,298,748,298,6786,1,1
request_9,680,f0_4_6,truck_7,2,680,1130,680,6786,1,1
request_10,1262,f0_1_4,truck_4,2,1262,1712,1262,6786,1,1
request_11,598,f8_1_7,truck_1,2,598,1048,598,6786,1,1
request_12,1530,f4_1_6,truck_5,2,1530,1980,1530,6786,1,1
request_13,1504,f7_3_1,truck_7,2,1504,1954,1504,6786,1,1
request_14,2116,f0_0_1,truck_6,2,2116,2566,2116,6786,1,1
request_15,2002,f4_2_2,truck_3,2,2002,2452,2002,6786,1,1
request_16,2388,f7_1_0,truck_4,2,2388,2838,2388,6786,1,1
request_17,508,f2_1_4,truck_5,2,508,958,508,6786,1,1
request_18,186,f9_2_2,truck_7,2,186,636,186,6786,1,1
request_19,608,f9_0_0,truck_5,2,608,1058,608,6786,1,1
request_20,2900,f0_1_5,truck_3,2,2900,3350,2900,6786,1,1
request_21,3472,f0_1_2,truck_4,2,3472,3922,3472,6786,1,1
request_22,0,f5_2_0,truck_0,2,0,306,0,6786,1,1
request_23,1070,f9_1_9,truck_0,2,1070,1520,1070,6786,1,1
request_24,227,f3_4_0,truck_7,2,227,676,226,6786,1,1
request_25,950,f2_0_8,truck_9,2,950,1400,950,6786,1,1
request_26,2474,f4_1_1,truck_5,2,2474,2924,2474,6786,1,1
request_27,4004,f0_1_4,truck_3,2,4004,4454,4004,6786,1,1
request_28,1402,f2_1_0,truck_1,2,1402,1852,1402,6786,1,1
request_29,3056,f4_1_8,truck_5,2,3056,3506,3056,6786,1,1
request_30,3518,f4_4_7,truck_9,2,3518,3968,3518,6786,1,1
request_31,1634,f2_1_6,truck_7,2,1634,2084,1634,6786,1,1
request_32,2036,f2_1_5,truck_5,2,2036,2486,2036,6786,1,1
request_33,2408,f2_0_9,truck_8,2,2408,2858,2408,6786,1,1
request_34,3740,f4_2_9,truck_2,2,3740,4190,3740,6786,1,1
request_35,2880,f2_4_4,truck_5,2,2880,3330,2880,6786,1,1
request_36,4716,f0_1_0,truck_9,2,4716,5166,4716,6786,1,1
request_37,910,f8_1_8,truck_5,2,910,1360,910,6786,1,1
request_38,299,f5_2_8,truck_4,2,299,748,298,6786,1,1
request_39,178,f6_2_1,truck_2,2,178,628,178,6786,1,1
request_40,568,f1_4_2,truck_5,2,568,1018,568,6786,1,1
request_41,1392,f9_4_6,truck_9,2,1392,1842,1392,6786,1,1
request_42,1292,f8_2_9,truck_0,2,1292,1742,1292,6786,1,1
request_43,1071,f1_1_0,truck_7,2,1071,1520,1070,6786,1,1
request_44,558,f3_1_6,truck_8,2,558,1008,558,6786,1,1
request_45,5128,f7_1_0,truck_8,2,5128,5578,5128,6786,1,1
request_46,5360,f7_0_5,truck_7,2,5360,5810,5360,6786,1,1
request_47,1484,f9_1_8,truck_8,2,1484,1934,1484,6786,1,1
request_48,4262,f4_1_1,truck_5,2,4262,4712,4262,6786,1,1
request_49,1654,f8_1_5,truck_5,2,1654,2104,1654,6786,1,1
request_50,540,f6_3_5,truck_4,2,540,990,540,6786,1,1
