name,event_time,pickup_location,delivery_location,boxes,pickup_min_time,pickup_max_time,delivery_min_time,delivery_max_time,pickup_service_time,delivery_service_time
request_1,0,f9_2_8,truck_4,2,0,1181,0,5518,1,1
request_2,1,f9_2_3,truck_9,2,1,1343,0,5518,1,1
request_3,2,f0_2_8,truck_5,2,2,1251,0,5518,1,1
request_4,413,f0_4_2,truck_8,2,413,1763,413,5518,1,1
request_5,3,f8_1_7,truck_3,2,3,1141,0,5518,1,1
request_6,4,f7_1_7,truck_8,2,4,1101,0,5518,1,1
request_7,5,f6_3_4,truck_8,2,5,1301,0,5518,1,1
request_8,6,f3_0_4,truck_4,2,6,1221,0,5518,1,1
request_9,263,f6_0_2,truck_5,2,263,1613,263,5518,1,1
request_10,605,f6_0_3,truck_9,2,605,1955,605,5518,1,1
request_11,7,f5_4_0,truck_7,2,7,1251,0,5518,1,1
request_12,8,f1_2_9,truck_4,2,8,1261,0,5518,1,1
request_13,705,f4_1_5,truck_2,2,705,2055,705,5518,1,1
request_14,9,f3_4_6,truck_3,2,9,1353,3,5518,1,1
request_15,33,f7_1_1,truck_6,2,33,1383,33,5518,1,1
request_16,265,f9_4_7,truck_1,2,265,1615,265,5518,1,1
request_17,537,f9_2_4,truck_9,2,537,1887,537,5518,1,1
request_18,264,f5_2_2,truck_2,2,264,1613,263,5518,1,1
request_19,1067,f4_2_2,truck_9,2,1067,2417,1067,5518,1,1
request_20,10,f2_3_4,truck_3,2,10,1171,0,5518,1,1
request_21,1789,f0_1_7,truck_9,2,1789,3139,1789,5518,1,1
request_22,2491,f0_1_3,truck_7,2,2491,3841,2491,5518,1,1
request_23,3133,f4_3_2,truck_5,2,3133,4483,3133,5518,1,1
request_24,275,f3_0_9,truck_5,2,275,1625,275,5518,1,1
request_25,927,f3_4_0,truck_6,2,927,2277,927,5518,1,1
request_26,63,f8_4_5,truck_5,2,63,1413,63,5518,1,1
request_27,655,f5_1_2,truck_3,2,655,2005,655,5518,1,1
request_28,967,f5_3_0,truck_2,2,967,2317,967,5518,1,1
request_29,113,f2_1_8,truck_5,2,113,1463,113,5518,1,1
request_30,3775,f0_1_1,truck_9,2,3775,5125,3775,5518,1,1
request_31,1429,f3_1_2,truck_6,2,1429,2779,1429,5518,1,1
request_32,153,f1_1_8,truck_0,2,153,1503,153,5518,1,1
request_33,1419,f5_0_5,truck_8,2,1419,2769,1419,5518,1,1
request_34,659,f9_4_9,truck_7,2,659,2009,659,5518,1,1
request_35,987,f6_3_7,truck_9,2,987,2337,987,5518,1,1
request_36,405,f1_4_0,truck_1,2,405,1755,405,5518,1,1
request_37,345,f8_4_6,truck_7,2,345,1695,345,5518,1,1
request_38,305,f7_4_8,truck_0,2,305,1655,305,5518,1,1
request_39,517,f7_1_7,truck_6,2,517,1867,517,5518,1,1
request_40,901,f9_0_3,truck_2,2,901,2251,901,5518,1,1
request_41,689,f7_3_1,truck_2,2,689,2039,689,5518,1,1
request_42,861,f7_4_4,truck_8,2,861,2211,861,5518,1,1
request_43,1771,f3_2_6,truck_1,2,1771,3121,1771,5518,1,1
request_44,1323,f9_4_0,truck_5,2,1323,2673,1323,5518,1,1
request_45,1755,f9_3_0,truck_8,2,1755,3105,1755,5518,1,1
request_46,677,f1_3_0,truck_2,2,677,2027,677,5518,1,1
request_47,1073,f7_2_7,truck_2,2,1073,2423,1073,5518,1,1
request_48,1325,f7_0_7,truck_8,2,1325,2675,1325,5518,1,1
request_49,4097,f4_3_0,truck_4,2,4097,5447,4097,5518,1,1
request_50,1831,f5_1_5,truck_7,2,1831,3181,1831,5518,1,1
